Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_RH (%),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,0.1780170114370776,0.17819876095080645,0.34414592042756453,-0.053349527932425644,0.0,0.0,0.0,0.0,0.0
996.41402441262312,-0.1780187769445547,-0.17783620510607534,-0.34414620254301198,-0.8544971387346294,-1.3959454857237525e-96,0.0,0.0,0.00022989735666164874,2.5357084742386653e-08
989.2484027980131,-0.17972630404102574,-0.17917223595458154,-0.34801842613404332,-0.90692481883399978,-4.3358768095703216e-83,0.0,1.381039030783872e-312,0.00022450485251890914,2.9063234073502848e-08
982.00795783398439,-0.17886411037147809,-0.17793894752543338,-0.34531028150841614,-0.92785249060871422,-7.3519609936270522e-77,0.0,1.7836080826220948e-301,0.00021898362166813175,3.3426918782166813e-08
974.61313365461172,-0.17844591150463884,-0.17714004960060947,-0.34281485062623496,-0.94758617427832803,-3.5094695293557299e-54,0.0,-4.0466924092962334e-281,0.00021501633249101579,3.8563337927446448e-08
966.93843588156642,-0.1777913458280409,-0.17609218634646595,-0.34078093291311262,-0.97286294933060447,-2.4151912107916441e-35,0.0,2.3795865184274707e-206,0.00021144350584954581,4.4754257930186659e-08
958.83257614239983,-0.17737095403168723,-0.17525390156151843,-0.33852783378960538,-0.99952545555993311,-1.8997507652547524e-15,0.0,2.5550615686621229e-201,0.00020833151627793964,5.2412182913795877e-08
950.13864093638267,-0.17747874841921885,-0.17490477092530909,-0.33525997091542337,-1.0225908972029885,-1.1295807381620099e-11,0.0,8.6052980322497635e-189,0.00020612502203573666,6.2064704074178307e-08
940.72237900342327,-0.1787357109851655,-0.17564311776254726,-0.32984947310296953,-1.0330795307766323,-3.2250470771853041e-08,1.1331444269212013e-280,2.3522581990167581e-180,0.00020569974342813345,7.4489065803920476e-08
930.496038276695,-0.18287832541039961,-0.17915386079306472,-0.31670328339467346,-0.98480098270771066,-9.9436389926072531e-06,3.2004281676819719e-258,7.3555929456488425e-171,0.0002070358275453512,9.0901831201175961e-08
919.42636239465617,-0.19568218965719097,-0.19104278995354207,-0.28822922775764326,-0.79424308874691008,-6.0252055852365381e-05,1.41702310318671e-255,8.8051220130295618e-182,0.00021008518551675435,1.1407612062244013e-07
907.515870989728,-0.21188943414506412,-0.20609678205653381,-0.25554537109036346,-0.55894346521600369,-9.4363381554466656e-05,1.2638985074567029e-236,1.5724397725527853e-162,0.00021926984497338577,1.4615073179716502e-07
894.75969176552348,-0.22747030695819603,-0.22035891387639595,-0.23958697658296657,-0.44392446726794788,-0.00011829509492931943,9.4476211105569577e-222,7.2062058537241274e-145,0.00022825894081973316,1.9094766881580566e-07
881.10775479854783,-0.25398284798473014,-0.24496443544035174,-0.20811009034949812,-0.15324993504043505,-7.8252403567922362e-05,8.6924049156221327e-206,6.3477157503681764e-143,0.00024015933277709081,2.5709533531273066e-07
866.45498259601288,-0.29436582752276763,-0.28255681874401262,-0.13903848617981573,0.50464450013134865,-4.7282753672019812e-08,2.0911995056125443e-194,7.9982535759139688e-118,0.00025980029807501706,3.6123992105794203e-07
850.66872420888467,-0.34962941863557262,-0.33384544906999736,-0.060571827650321097,1.3055794210756062,5.3012380708652822e-05,1.905910511587775e-172,1.3969429692759586e-106,0.00028794167088778098,5.3963338897745768e-07
833.64559388934572,-0.39936830700696646,-0.37914343742426126,-0.039409365724571543,1.5735373634940544,0.00011233862819013144,1.3668464033626838e-148,4.4526427377678989e-99,0.00033074210621542727,8.7148816830483054e-07
815.36890159117854,-0.4150500731211082,-0.39154401680968931,-0.077840452101716195,1.1704168608713985,0.00016142679305650642,7.4727533316931957e-138,3.7368801352086607e-92,0.00039504625535478378,1.5454450495886522e-06
795.94597919194848,-0.41498435136571743,-0.38879539800672092,-0.12565566990687316,0.6275206899265271,0.00019804719287583273,5.5148817035275453e-125,5.7493789949804258e-75,0.00048306384980403329,3.0519833729430323e-06
775.60658797742315,-0.41914484126357365,-0.38980054356704841,-0.15327135830860605,0.28494565935102401,0.00020942266026145956,-6.4039670800140581e-112,1.337055206625567e-69,0.00058984770616566339,6.7955061045258911e-06
754.65955126406607,-0.4312415585339977,-0.39792631869670458,-0.16205385497504921,0.15077400284116038,0.00021175778702549504,1.4659251916228956e-99,1.6475545095801054e-52,0.00070764421965377293,1.7069220271408645e-05
733.43070267335133,-0.44275553489723052,-0.40523461442751341,-0.16122526240011137,0.10673108744198601,0.0001921704815356863,9.0238954231598743e-92,3.2722986691586439e-14,0.00082372799442108693,4.7590094449811209e-05
712.20761947503922,-0.44041453445430534,-0.39972535108381635,-0.16541171845870739,-0.066902406564878447,0.00016899917930782247,1.8774283700810216e-74,5.1282691766842006e-11,0.00089073896777831958,0.00014258702565759823
691.20791049555862,-0.42458018116116136,-0.38207372706119713,-0.17558294715170319,-0.4005627999873127,0.00014255679020617486,2.9564590534884842e-58,1.0266532600115845e-08,0.0008204439733351665,0.00043222528918072359
670.573686473821,-0.40991141109924456,-0.36569409714053336,-0.17926518342825659,-0.67584474730449529,9.6038058602790919e-05,2.4231971730296684e-36,8.958962956644374e-07,0.00046375012412517951,0.0011898626500977229
650.383924724449,-0.42293151978640253,-0.37402942567666742,-0.16723758058716598,-0.613224373379893,4.9459698438923411e-05,9.7904442237700556e-16,3.0827479233304673e-05,-0.00014068385523172827,0.0023377037260442291
630.67402811686134,-0.50491098064600237,-0.44262213887452617,-0.14685792983332568,-0.075844729909064768,3.4317728508361563e-05,1.4727189255421498e-12,5.2879128825666043e-05,0.00014852688487168239,0.0015174557198295909
611.45428233122652,-0.58633771355187037,-0.5094798446929758,-0.14413088121551265,0.22482459908556507,3.7957006553396744e-05,4.6566730967976108e-10,3.13156960396061e-05,0.00020173536754118041,0.0012860313754095281
592.71920884622148,-0.62667710779822983,-0.53971280838169378,-0.1440634850888749,0.24562353379243973,6.5836261647156738e-05,8.1662658661638881e-09,6.6127483072079001e-05,0.00014014869593814705,0.0014432091181767574
574.45505226858313,-0.64509500059040192,-0.55063018921993034,-0.14409626122098329,0.13667889543884826,8.7376176761331604e-05,1.1364417007673121e-07,0.00013177872344602795,3.4512358169092906e-05,0.0016789514914948064
556.65260004906315,-0.66067370669765069,-0.55887963958616638,-0.14443851107687822,-0.027877842719604473,9.0739565463567734e-05,1.7893813915466701e-07,0.00022223287435214293,-6.8147322447830328e-05,0.0019165968510018016
539.30779530302743,-0.67845907858009014,-0.56875891127288014,-0.14610077971923152,-0.24558512630638063,9.5595138267802341e-05,2.4363251158020483e-08,0.00034356826525352427,2.2041920141706306e-06,0.0019936604741110225
522.41380552772557,-0.69911848077032346,-0.58077424352717344,-0.14784682028265905,-0.50086224195941043,9.7044354214608506e-05,-6.4370944537537719e-08,0.00052480431363625566,9.0093952324394547e-05,0.0020660133443757174
505.96150436091227,-0.72139111202460526,-0.59382421846441957,-0.14793256845843539,-0.75987157709782593,8.941811220028917e-05,-4.6506299988741591e-08,0.00079236571155983163,0.00010733938037336401,0.0022334644221848644
489.94149636014373,-0.73754650789504694,-0.60156886696722722,-0.14558999673689677,-1.0316285843807975,8.1256694671603697e-05,-9.0004844515674751e-09,0.0011620067338230702,0.00010318084490860751,0.0024403128224502815
474.34417837126739,-0.74426503770098407,-0.60146488101037221,-0.14168450018668466,-1.345632291360829,7.0280055685105871e-05,1.3486592178777787e-08,0.0015895776004035446,9.3898226101905673e-05,0.0026430846136889438
459.15946906760792,-0.74213680514230873,-0.59419729186470249,-0.13607830819918232,-1.6828120176507184,5.7534813650046137e-05,2.9101629553118347e-08,0.0021166153446647469,8.0527726173405638e-05,0.0028258463885927863
444.37690147340521,-0.73539793793389663,-0.58332382451510512,-0.12718034056566374,-1.9374513383548333,4.6912389667286367e-05,4.6000177051834494e-08,0.0027562888480621994,6.3389803658617586e-05,0.0029827528172611806
429.98697286626538,-0.73169486299525488,-0.57495505615483466,-0.11126976221279761,-1.8565200546695735,4.0137715211049441e-05,7.1353753225943255e-08,0.0033100557374359102,3.8433179510345217e-05,0.0030907647001600161
415.97927830645477,-0.73127931275161018,-0.56921822079291928,-0.088005736353505615,-1.3025678250061361,3.204626730591686e-05,1.0884599313951887e-07,0.003585765573708339,3.5659534966165935e-06,0.0031252609698926952
402.34207106309435,-0.70343603525185472,-0.54235702389291873,-0.065983543930028032,-0.73932389884456029,2.4707955529723494e-05,1.6152117925148495e-07,0.0033031241277632246,-3.6489164445150865e-05,0.0030676263892776626
389.06580822189585,-0.69627221153803021,-0.5317131635200667,-0.051033054062705752,-0.31035885265229979,1.9475128143113605e-05,2.3970717674560053e-07,0.0028222661622323425,-7.0510371443341336e-05,0.0029421448194528362
376.14288707230742,-0.7074746390060227,-0.53508031639387355,-0.041815747715553186,-0.0628290596615102,1.5144915820924714e-05,3.5353256274703864e-07,0.0024833254625233475,-8.3985706429423493e-05,0.0027926512633560385
