Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_RH (%),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,0.3948261188005517,0.3952292232820013,0.4116837579399259,-1.3489140026144355,0.0,0.0,0.0,0.0,0.0
996.4140244126232,-0.3948263818073201,-0.3944214572276791,-0.411684966515839,-0.2227172814079665,-8.742031685169523e-97,0.0,0.0,0.0005515755724858,3.078893566128495e-08
989.2484027980132,-0.3994254461625814,-0.3981940799816357,-0.4164080702279928,-0.2558601425246962,-4.3347748830582495e-83,0.0,0.0,0.0005487052599629,3.56797683772767e-08
982.0079578339844,-0.3970035056762526,-0.3949500311562701,-0.4210069138569405,-0.310678745632714,2.484644886661896e-73,0.0,3.414235940954627e-298,0.0005537508722817,4.133987170033971e-08
974.6131336546116,-0.3958277811609605,-0.392931125162363,-0.4237495205596477,-0.3457738698873242,-3.5094695293526646e-54,0.0,-4.0466926995762685e-281,0.0005705971115411,4.7914977552184635e-08
966.9384358815664,-0.3948322284232403,-0.39105879996157,-0.4251811625808095,-0.3753318977337727,-2.4151912107916366e-35,0.0,2.261113495014994e-267,0.000592778375293,5.5696752026500775e-08
958.8325761423998,-0.3944036572123081,-0.38969616019682,-0.4248035927109903,-0.3963810613283556,-1.3380525932223973e-15,0.0,-1.2056531675435889e-259,0.0006241136214746,6.507823393689371e-08
950.1386409363826,-0.3943884087373703,-0.3886685865220442,-0.4217532484283097,-0.4053969251129387,-7.026850480044229e-12,2.7952844825e-314,9.914181591218159e-228,0.0006626333647746,7.658666938930742e-08
940.7223790034232,-0.3948653888815556,-0.3880331894359869,-0.4154944006872138,-0.4003905122898174,-2.006907018246019e-08,-4.387143297461232e-300,5.2119613694902e-219,0.0007117776810933,9.095608088647555e-08
930.496038276695,-0.395393020230756,-0.387340522426598,-0.4064334879124693,-0.3849377596810512,-2.206828963381392e-06,9.988963154474298e-290,-1.5620103943560039e-199,0.0007676662586507,1.0910794784273445e-07
919.426362394656,-0.3972657708433757,-0.3878470562289066,-0.3829440301940501,-0.2988338364989147,5.922321089049304e-05,3.65186818287153e-282,2.3617416092960486e-200,0.0008422625244317,1.3236634556438537e-07
907.515870989728,-0.3949946999100006,-0.3841962998736789,-0.3588464638696944,-0.2547004495390154,0.0002130557122345,5.548768770303389e-255,-1.8634115057069216e-175,0.0009291645657668,1.624402373917647e-07
894.7596917655235,-0.378204315817527,-0.3663805327885825,-0.354325818501513,-0.4375676120277773,0.0004908621331896,9.525864980654426e-229,2.486695355774821e-157,0.0010219934300771,2.0058876119688162e-07
881.1077547985478,-0.3410689010142391,-0.328958240472275,-0.3752899915347427,-0.9370628373867048,0.0008169549854755,3.8310175098571264e-223,4.628692928472336e-149,0.0011213460860741,2.4925707274979596e-07
866.4549825960128,-0.2918873048893146,-0.2801777264547809,-0.3693316559665316,-1.3227947621516307,0.0011924294134869,1.5592817819493692e-200,4.240906183542849e-131,0.0012245564883698,3.118852192937182e-07
850.6687242088847,-0.2535758381102937,-0.2421281935530714,-0.2277930975833815,-0.556170063058218,0.0013948827626921,1.5609914459164017e-171,1.1290085053866338e-117,0.0013286864185224,3.968602646907285e-07
833.6455938893457,-0.2464669997204396,-0.2339853810283329,0.0344202324916427,1.4546524670320906,0.0012809804456501,9.014336554974156e-156,1.5224396356714674e-101,0.0013961235861814,5.262035250859232e-07
815.3689015911785,-0.280039073257285,-0.2641792658469057,0.2549860385584548,3.464398568816918,0.0011029149602485,9.673097444492142e-143,1.6915046796685532e-95,0.0014042626803679,7.673000434724941e-07
795.9459791919485,-0.3037262334374304,-0.2845585898016338,0.3371495159907045,4.380173672800225,0.0008353815858278,1.197561837314983e-134,5.090548761399132e-82,0.0013332921976,1.2949849489279647e-06
775.606587977423,-0.2979246313024646,-0.2770669510655352,0.3102805499472571,4.254598914042092,0.0005799160265193,-6.363554614926144e-112,1.7161380332186292e-71,0.0011662685882389,2.6159759774211855e-06
754.659551264066,-0.258403727653274,-0.2384409434752683,0.2236117455471928,3.3876385210492543,0.000382778039753,5.144356362798496e-99,6.942080938853675e-53,0.0008839734184678,6.407161623990899e-06
733.4307026733513,-0.2141811163730267,-0.196030529875145,0.1207428981338152,2.234222648307991,0.000247150121323,1.9226627904696682e-93,6.1410314307850255e-15,0.0005139163537788,1.8402519195136988e-05
712.2076194750392,-0.1933952510573249,-0.1755277779889752,0.0330307338433533,1.2165122900842107,0.0002024253754035,1.0069645426726011e-75,1.1063845340673502e-11,0.0001281002391913,5.726436475430653e-05
691.2079104955585,-0.1915220117153921,-0.1723479617684233,-0.0305076238100747,0.4402032680603582,0.0001777891914434,2.440756945158533e-70,2.2669626256039004e-09,-0.0002473067181432,0.0001759371644011
670.573686473821,-0.1998296011634579,-0.1782738991907422,-0.0715999900264723,-0.1061174429228941,0.0001530586953292,1.498168493666916e-37,1.994194869735395e-07,-0.0006237794385682,0.0004710306632728
650.383924724449,-0.2240998724334417,-0.1981879870832017,-0.0966175450065493,-0.4297239332161098,0.0001290510608842,6.376189185819569e-17,6.482585538360767e-06,-0.0009090328191307,0.0008260614390522
630.6740281168613,-0.2867481053575033,-0.2513731421510669,-0.1052216049396372,-0.3758623582614433,0.0001234157820986,3.330876421430085e-13,-2.0669067559721165e-05,-0.0004952414813471,-2.3554270087966164e-05
611.4542823312265,-0.3436074138142544,-0.298566931274081,-0.1122815606086335,-0.3364784127008846,0.0001148551859743,1.6745418590723443e-10,-3.0450882449426376e-05,-0.0003060925499939,-0.0002329231602394
592.7192088462215,-0.3768317215517527,-0.3245385928337896,-0.1126293303426262,-0.3305058223815677,0.0001180841402509,2.567346421622138e-09,-6.788612941129073e-05,-0.0001766326357941,-0.0002791893208475
574.4550522685831,-0.4026029875108747,-0.3436476162282247,-0.1073738211985477,-0.2630875003191874,0.0001303332477432,4.450020941798537e-08,-0.0001401762514898,-6.054484717212764e-05,-0.0003139181730576
556.6526000490632,-0.4343145204044276,-0.3673970072821362,-0.1014648190144407,-0.1533329010627682,0.0001192604951245,5.74800827859615e-08,-0.0002457722927148,5.30051398623028e-05,-0.0003640668177308
539.3077953030273,-0.4771994246323743,-0.4000409660401942,-0.0974919147717479,-0.0326481625753132,0.000103208973668,-9.46954867856031e-08,-0.0003887090065997,0.0002799463360265,-0.0005792705395142
522.4138055277256,-0.5301912059327946,-0.4404423642342862,-0.0926311020348249,0.1512867981292771,8.036089461265046e-05,-1.6429204625098617e-07,-0.0005212837645613,0.0004302071810507,-0.0007495911888344
505.9615043609122,-0.5826561403519576,-0.47962238709448,-0.0861280931954024,0.3723527381837925,5.667787232510016e-05,-1.130321553901509e-07,-0.0006178460621165,0.0004598342416048,-0.0008215656463025
489.9414963601437,-0.627344568998069,-0.5116842904554914,-0.0786900790133158,0.5830139891989176,3.842655197118712e-05,-3.622997752997994e-08,-0.0006671874762678,0.0004495880248226,-0.000858101878892
474.3441783712673,-0.6657486471977448,-0.5380132218846824,-0.0721361463077823,0.7360159608385146,1.5988413269681263e-05,8.467935201891885e-09,-0.0007042097548514,0.00041361183449,-0.0008791404544565
459.1594690676079,-0.7007122171527271,-0.5610303907900515,-0.0665516521267786,0.837744768029367,2.198193892467533e-06,3.187797475416308e-08,-0.0006666145412334,0.0003561151395091,-0.0008863623228639
444.3769014734052,-0.7346407321703055,-0.5827232025399666,-0.0617655592688937,0.8995253713609372,-8.750196132975064e-06,5.5818642362097595e-08,-0.0005499935753453,0.0002789226477458,-0.0008790265688519
429.9869728662654,-0.7693852249383893,-0.6045715879409101,-0.0561253388905982,0.9871344862122556,-2.000929651032636e-05,8.837021148932195e-08,-0.0004099035392444,0.0001831820958874,-0.0008533695162893
415.9792783064548,-0.8039065903839173,-0.6257503406464479,-0.0505224581330692,1.0689927655247828,-2.371424172882303e-05,1.3430768744578414e-07,-0.0003322261963222,7.942592189608914e-05,-0.0008256857298352
402.3420710630944,-0.8362115400445873,-0.6447284180445934,-0.0455361319138463,1.1237984333009194,-2.801315299055644e-05,2.0439232189203922e-07,-0.0001879525396042,-2.4325586855098545e-05,-0.0007816506607323
389.0658082218959,-0.8679764445448086,-0.6628363067519558,-0.0413691178400165,1.1442966588802932,-2.878112042161741e-05,3.035076941167814e-07,-2.9051587461671743e-05,-0.0001070969398647,-0.0007481060928925
376.14288707230736,-0.9008701217194356,-0.6813500345915883,-0.0368790926899754,1.204327796327533,-2.6597898284921005e-05,4.446689560106637e-07,2.671013309496484e-05,-0.0001437559490872,-0.0007549953076214
363.5658382340434,-0.9354818719634748,-0.7006881673843282,-0.0317456201232931,1.3162534763481517,-2.40968685521764e-05,6.440041213837405e-07,5.864591651111305e-06,-0.0001209780205735,-0.0008342074641151
351.32489240297065,-0.9696046990250125,-0.7191767167650198,-0.0271928775226593,1.3906614706187312,-2.0881132799769844e-05,9.009562317732014e-07,-1.7494110449864375e-05,-6.341968661365474e-05,-0.0009731217218571
339.4083231397591,-1.0004052316459706,-0.7347444064965316,-0.0236259321688594,1.3994039775177285,-1.6362084290599474e-05,1.2449465643176938e-06,6.37252265403565e-05,-1.8800175345545693e-05,-0.0010863500508976
327.80734209468886,-1.0292381357984368,-0.7484488137238258,-0.0205974831969863,1.388736344723668,-1.3305225723459722e-05,1.6302329622005867e-06,0.000138760565339,-2.7033370263065487e-06,-0.0011787475916954
316.5157424475684,-1.0572216965775851,-0.7611391409007239,-0.0176482090807751,1.418346600880767,-1.0905445589039997e-05,1.9872625999481983e-06,5.5417970784829567e-05,-1.776496735210186e-07,-0.0012423812396525
305.5274066110498,-1.0839038706775457,-0.7725128729862547,-0.014675096473267,1.4762342374813573,-8.143852899599687e-06,2.3288753413261603e-06,-0.0001103751551023,-1.2369222755003298e-08,-0.0012926010853414
294.8345003944048,-1.1079509402679832,-0.7816570690377773,-0.0120392422305491,1.5246980962889936,-4.656813655518193e-06,2.477509197339784e-06,-0.0002867171189673,-2.871598475463304e-09,-0.0013306619595212
284.4277260809143,-1.12876647825874,-0.7882104475621929,-0.0100574228488815,1.510953208855895,-1.931665925195984e-06,1.7688885853992656e-06,-0.0004860987597781,-5.413369785576638e-10,-0.0013570286159101
274.2999605041194,-1.1472335425461893,-0.7928523900734774,-0.0086430522482702,1.390551230054406,-1.2927519626094725e-23,3.269575882688621e-07,-0.000617294426229,-7.56647491914887e-11,-0.0013592621572048
264.4459928841463,-1.1641543065640008,-0.7961827242389745,-0.0073395261543073,1.2713437431717338,-1.6251103490776347e-41,1.0111909616695877e-06,-0.0008343506049032,-1.4494391417247562e-28,-0.0013516240341427
254.8598387584422,-1.17930687488672,-0.7980843395893373,-0.0060412225785314,1.2294826208879286,-7.71730892289659e-61,2.039619474167335e-06,-0.001004597374331,-5.333696109253374e-47,-0.0013245750462122
245.53485722568533,-1.1927598120822722,-0.7986400944496097,-0.0048821006792261,1.2484926220707848,-2.1403656667705242e-65,2.946843609488765e-06,-0.0012503123687027,-1.6662230497790466e-60,-0.0012872400454382
236.4654344998993,-1.204400599064229,-0.7978115418017353,-0.0039400511108732,1.2619746344305367,8.790419090811019e-17,4.0141570779280284e-06,-0.0014785963977154,5.15805904704625e-20,-0.0012353484225237
227.64686202755937,-1.2137987729549875,-0.7953557778385516,-0.0031904902737449,1.251181956826855,1.461390925845504e-11,5.727072478160471e-06,-0.001690497661947,3.6385457645915904e-19,-0.0011802236698917
219.07424904441737,-1.2204150427060083,-0.7909713490469982,-0.0025673853652311,1.2529166202093762,-6.940608603154152e-29,8.83006268394306e-06,-0.0018546898163177,3.8953543838924645e-20,-0.0011190754212868
210.7425555666812,-1.2242745127772992,-0.7847336252864352,-0.0020694776848691,1.241917543540012,-1.6605231279194023e-47,1.3787934350796314e-05,-0.001942703006176,-1.4325147795796108e-39,-0.0010570317672388
202.64705766067848,-1.2255826590183003,-0.7768317072294905,-0.0016551115084601,1.2468247943372788,-3.2327472588205704e-38,2.1819678634900475e-05,-0.0019443333797161,-1.2909951158041217e-52,-0.0010007571228045
194.7833118291997,-1.2232868685553058,-0.7666604945595452,-0.001318993335814,1.2591126795510803,-3.8437008270043305e-36,3.4129441362260214e-05,-0.0018341602502647,-1.5332747418158378e-38,-0.000950513968273
187.14696289888764,-1.2138637977523672,-0.7521139368472802,-0.001054127335085,1.2519135980146243,-1.7787784410084791e-34,5.6375609337444496e-05,-0.0017352433396836,-1.722282952138743e-76,-0.0009049944447745
179.7337090096795,-1.1914291487506716,-0.7297400243687377,-0.0008477443481419,1.18890728854565,2.3543780556899e-55,9.839769914915152e-05,-0.0017379878503405,2.1602777287181924e-68,-0.0008480967392455
172.5393236193148,-1.1522272842912002,-0.6975424049099103,-0.0006807853690565,1.0718408966361466,2.5128678753181376e-17,0.0001800634436635,-0.0018667524593504,4.178004416756144e-56,-0.000777332887778
165.55930122105292,-1.0904831292240829,-0.6524222745505596,-0.0005411988306241,0.9035022343968464,6.813991666967758e-12,0.0003244205863055,-0.0018722602425703,1.7975128198250474e-22,-0.0006903513909
158.78758694496352,-0.999732476594488,-0.5910349331807367,-0.0004233680154639,0.6667789362513332,-3.050268062429104e-11,0.0004643098257152,-0.0017607446275434,-7.9556223749344865e-22,-0.0005936849426892
152.2147143254654,-0.883765810140801,-0.5162052384164326,-0.0003267582103612,0.3332784411837082,3.248629000806225e-12,0.0004982080411893,-0.0014819997177925,2.138378740770589e-20,-0.0004992001122282
145.8252970320869,-0.7427531240791154,-0.4285585801718525,-0.0002440250032435,-0.0408445476785317,5.601032443301242e-11,0.0004419536780749,-0.0011431981370451,-1.2295319303911761e-19,-0.000415788420477
139.59271651096998,-0.5786733317426637,-0.329746918491935,-0.0001698437318151,-0.3361828036001242,-1.6873709589147252e-10,0.0003284747376482,-0.000826202445969,2.1083486714874242e-18,-0.0003473709939597
133.4718827401486,-0.4007968610084731,-0.2254807791323401,-0.0001035369428218,-0.4412941872842282,-3.8331967015352856e-11,0.00020867164605,-0.0005767292411533,1.9169427250931884e-17,-0.0002900296569674
127.39545156679038,-0.225710345864968,-0.1253016283003489,-4.914261679607045e-05,-0.3284729580589171,1.006565549343945e-09,0.000115359741545,-0.0004078352910631,3.128641433723678e-14,-0.0002462427733002
121.27760637962352,-0.0749242836906205,-0.0410131374897275,-1.141103027152055e-05,-0.0573361255066231,-2.534961999246859e-09,5.6488614301521264e-05,-0.0002785531324239,1.6676193431732389e-13,-0.0001830404068487
115.0302334913696,0.0282854393681759,0.0152511573318179,8.623675895894512e-06,0.2763869236453828,-1.2277767080478183e-10,2.295969824180917e-05,-0.0001757600237212,-4.190492928479018e-15,-0.000119159599669
108.59044680852848,0.0593707862171868,0.031489524625897,1.1825832260004107e-05,0.3977636654891156,-6.477577431308359e-10,2.344240814751945e-06,-9.54632464484353e-05,1.5322824416638866e-16,-6.204764269932774e-05
101.94699357453212,0.0667201949588616,0.0347551719156911,1.083188172944932e-05,0.3361810361004842,1.3212780965715582e-13,-5.140912137872132e-06,-3.5951434029761826e-05,4.712772295653868e-18,-2.2574785908176588e-05
95.1525418816176,0.0582261674998676,0.0297388777159426,7.891566182719843e-06,0.1715680340589074,-6.363703304899549e-13,-4.099604621898676e-06,-9.334678046112896e-06,-2.508964823841597e-24,-7.265519923822017e-06
88.31749424290756,0.0414571317168679,0.0207280638929319,1.3786766196511623e-06,-0.1365263171925192,-3.8115640903714205e-31,-1.309478000009539e-06,-1.5674532824223954e-06,1.5596890279336044e-49,-1.376944422379266e-06
81.58065552887957,0.0240953008841415,0.0117773929531779,-2.8051334088992005e-06,-0.2172887326887433,7.429867913764975e-60,-3.6542224640651477e-07,-2.1994193881040927e-07,1.0271663945923511e-67,-7.504808572534409e-08
75.07205885335021,0.014414264689492,0.006880112426586,-3.5034169243366043e-06,-0.1657578854881407,1.0774300997472015e-75,-5.810123116480601e-08,-2.70343477747686e-08,-1.5062066994497397e-88,-3.230377709654107e-09
68.89422278724597,0.0083347930932404,0.0038819072194655,-2.4355228471072566e-06,-0.0891870443401998,-7.240997086275078e-79,-1.7147529273830062e-09,-9.756598231525472e-10,-1.7717458912972335e-85,-2.3817877815127795e-10
63.11663205275938,0.0067868326528923,0.0030828500282211,-1.196314127142016e-06,-0.0458401607098721,-3.148191213968427e-95,-9.960577283319166e-13,-1.6513670104876545e-12,-4.633956782987933e-104,-2.3458707032842225e-12
57.773487080631895,0.0073329246870343,0.0032478049853637,-2.307920557095833e-07,-0.0261007644179258,1.357197657960196e-125,-6.486324767163599e-34,1.2296935756953598e-13,-2.3437963642656587e-104,-5.3783214015062926e-36
52.86637583958129,-442.5719589405348,-191.11107534615488,-0.0022926041169879,-0.0099515784627968,0.0,0.0,0.0,0.0,0.0
