Pressure (hPa),theta (K),Temp (K),qv (g/kg),RH (%),qliq (g/kg),qice (g/kg),qsnow (g/kg),qrain (g/kg),qgraupel (g/kg)
1003.5790071658564,303.31700114866049,303.62667783076836,33.603514544449318,118.93797771174602,0.0,0.0,0.0,0.0,0.0
996.41402441262312,298.98299997505097,298.67637009632244,15.277179502854986,72.427409946049295,1.4349956556075698e-96,0.0,0.0,0.0061422666214067693,1.2924126426301333e-07
989.2484027980131,298.88988739144827,297.9684566145836,15.066535277315522,74.050090220695125,4.3358797211392378e-83,0.0,0.0,0.0059943740212113827,1.5204680152946098e-07
982.00795783398439,298.93063167144163,297.38443264145155,14.956031993240062,75.628117046660563,1.2927723778345976e-76,0.0,9.8813129168249309e-324,0.0059228562705935491,1.7932332712750397e-07
974.61313365461172,298.95200787167909,296.76428591753626,14.892975464099614,77.648968813508219,3.5094695293557316e-54,0.0,4.0466926995762691e-281,0.0059217299686581603,2.119017666161547e-07
966.93843588156642,298.97675928087665,296.1194256296979,14.82620727338648,79.809535567370773,2.4151912107916462e-35,0.0,8.0762887632948641e-274,0.0059576122364767923,2.5169192956130841e-07
958.83257614239983,299.00613758918149,295.43727996175699,14.740141764663836,82.083969029953522,1.9149520086789303e-15,0.0,1.2056531688968947e-259,0.0060386136208462156,3.0126392974708745e-07
950.13864093638267,299.04398241985029,294.70694214155452,14.624725147641604,84.464785504745464,1.2007406818324488e-11,0.0,1.5828045751910406e-251,0.0061560173901550157,3.6441701753958234e-07
940.72237900342327,299.09600090724001,293.92086125434753,14.46023734207448,86.867167613818864,3.5565230781081323e-08,4.3871433014405952e-300,5.0828546181049655e-226,0.0063194913633960034,4.4652796290483456e-07
930.496038276695,299.15697871369997,293.06440552466671,14.245575795015068,89.349590943906136,1.3703464506464142e-05,5.0468661043858983e-296,1.5620103943560043e-199,0.0065201781155726996,5.5551234856010543e-07
919.42636239465617,299.32146310631776,292.22489540303076,13.81466485476968,90.302654443272232,0.00018970722868906387,5.8514019903443482e-286,2.5953805253801135e-200,0.0067879006613230852,7.0481140858734217e-07
907.515870989728,299.58918901050515,291.39899326807671,13.212926577067508,89.855686575066684,0.00048567545031087981,6.7757549942841025e-267,1.8636710455653259e-175,0.0071047411055030346,9.048839403360349e-07
894.75969176552348,299.8778759385238,290.50280856894818,12.563411380637552,89.214038795831428,0.0010327551289679075,2.6457204654960395e-254,4.5778546328988967e-170,0.0074691086831609075,1.1776868385263679e-06
881.10775479854783,300.24596759312686,289.58484609598526,11.886598419651321,88.19187293755077,0.0017209236629471038,8.4519607868111432e-230,1.9143226597009838e-149,0.0078897177636157983,1.5580258779646737e-06
866.45498259601288,300.73017861053842,288.66585256729599,11.100829537043301,85.977394631865351,0.0025099480524010988,1.6906002449028937e-211,5.6890030291311215e-132,0.0083597225188820311,2.1045600664875982e-06
850.66872420888467,301.43854421821834,287.83014471226295,10.127486948736108,81.339353694056527,0.0030254997414743733,6.0408957010869215e-204,6.8050186068120498e-119,0.0088771678205935116,2.9235567276454104e-06
833.64559388934572,302.37029639560205,287.05761458533561,9.0805718526762789,75.190757554268544,0.0031101778307321875,2.5019162582087932e-169,1.4699596889353143e-112,0.0094255383890535002,4.2206827438673074e-06
815.36890159117854,303.34858947151798,286.16866471575878,8.1837398462723119,70.277279350764189,0.0030424360236078179,6.5956975654002287e-164,2.9963213407038029e-99,0.0099622745110723634,6.4339961803783796e-06
795.94597919194848,304.3200264761968,285.11490957630457,7.5118995443519623,67.528839126871716,0.0028033464594396174,9.8967131917877289e-146,1.1290082219560474e-88,0.010454954568637848,1.0628693669570754e-05
775.60658797742315,305.28203820715635,283.90926648572139,6.9963570720783723,66.433788979473306,0.0024440750666728096,6.4039706079717828e-112,1.0863604792107363e-72,0.010879202257992873,1.9618506808495477e-05
754.65955126406607,306.24167103829683,282.58320279264314,6.56975797796325,66.390718755843267,0.002055909957250811,6.929704118400999e-108,3.8411853063435965e-55,0.011232633623901204,4.1338289550495244e-05
733.43070267335133,307.2246449403155,281.18916811260561,6.1802459983671181,66.766587564167892,0.0017087443826190275,2.5059122451512631e-95,6.4115123262573856e-16,0.011474814467461354,9.9672281541249424e-05
712.20761947503922,308.25539215634541,279.77617724597252,5.7967134961658564,67.050566416734483,0.0014233022550704777,2.3487096091953738e-80,5.9639169413337618e-12,0.011529610977334803,0.00026878255768056358
