Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_RH (%),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,-0.12303185442954145,-0.12315746590633125,-0.39223071912025631,-0.52021311217527,0.0,0.0,0.0,0.0,0.0
996.41402441262312,0.12303233065887298,0.12290615161646201,0.39223029300422496,1.3009114050028074,5.2318429362516649e-95,0.0,0.0,-1.5652434314310758e-05,-3.6653900287819903e-08
989.2484027980131,0.12720610066747895,0.12681394415409386,0.39628626066522088,1.3555110524181799,3.6920562692485288e-79,0.0,5.1263826516032318e-317,-7.7876149682607615e-06,-4.257823268455565e-08
982.00795783398439,0.1286932661572564,0.1280276087029506,0.3975373985857491,1.3971111376093575,7.531035612185937e-72,0.0,3.6712413830119159e-301,4.6421278572690572e-07,-4.9591956714322827e-08
974.61313365461172,0.12949781415233019,0.12855015297742511,0.39563903852629245,1.4283105553199675,-6.4123402822929656e-54,0.0,6.1822630082691662e-291,9.7267494944828017e-06,-5.7834533498612868e-08
966.93843588156642,0.13056118162563735,0.12931340283950021,0.39122647913336372,1.447506430434629,3.0155619181526158e-34,0.0,6.7967768092922931e-283,1.9561479914648357e-05,-6.7789483500793517e-08
958.83257614239983,0.13226881298538729,0.13069008765927492,0.38422545504472616,1.4527260517511564,2.0752925144893835e-14,0.0,2.2891264397996929e-272,3.0045712439426275e-05,-8.0090600433620998e-08
950.13864093638267,0.13544339577691744,0.13347905776169,0.37345436526902631,1.4325605881878829,8.0890530319772554e-11,0.0,-1.2505647367851844e-254,4.1386775155204808e-05,-9.5645250514053457e-08
940.72237900342327,0.14111090759740819,0.13866932144730981,0.35763634138010048,1.3721588429965692,2.1432082204421154e-07,-1.229750360023864e-307,-4.3211988323275856e-238,5.3070021663752069e-05,-1.1570953386611112e-07
930.496038276695,0.15256769947899329,0.14946053520901614,0.32770884380786214,1.1913029951385283,2.6710745043509929e-05,-2.2520083436174573e-302,-1.1703663616077658e-229,6.8047506730138652e-05,-1.4220756468479899e-07
919.42636239465617,0.1748669482645937,0.17072105399904558,0.29009202436128589,0.89285702643547893,0.00010341048966665321,-5.4928462596090497e-286,-5.1907265979421878e-200,7.7584146501721678e-05,-1.7973745655221919e-07
907.515870989728,0.19758445095914112,0.1921828697659862,0.26779740062208113,0.6930286242723156,0.00016220915170634591,1.5230035934898209e-273,5.1779308345721961e-186,8.2760137333838177e-05,-2.2993766856502335e-07
894.75969176552348,0.22552845766421115,0.2184777725220215,0.25526253202521154,0.5354906944516955,0.00019245591928804739,2.5976335864965185e-244,6.2306171058682452e-159,8.7967222987758893e-05,-2.9865126819281163e-07
881.10775479854783,0.27479603918925477,0.26503859270565044,0.19259933378057426,-0.10102918864340893,0.00013792115097817402,8.6141371983806483e-208,-3.8281501577530214e-149,8.851456316538199e-05,-3.9629386978055739e-07
