Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_RH (%),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,-0.13165004225294297,-0.1317844526161025,-0.42883757309144954,-0.58947328113073638,0.0,0.0,0.0,0.0,0.0
996.41402441262312,0.13165058333999013,0.1315155656219531,0.42884002290674594,1.4344662635091225,1.3404655457769741e-95,0.0,0.0,3.4488639306972865e-05,-3.712749935045506e-08
989.2484027980131,0.13595266069125955,0.13553353990124606,0.43333621661171406,1.4958673212194924,6.0683134524243613e-81,0.0,0.0,4.6794381992975621e-05,-4.3094160771651687e-08
982.00795783398439,0.13730645620523774,0.13659624759185363,0.43401596876255688,1.5393021220320406,2.0760055969397141e-64,0.0,7.4579209239736166e-320,5.8594381639132977e-05,-5.0162313065125392e-08
974.61313365461172,0.13829876633451477,0.13728670005173171,0.4320591839000123,1.5737131653544907,5.1306831415392879e-53,0.0,6.0258160408150507e-294,7.0445817929133854e-05,-5.8491538982031242e-08
966.93843588156642,0.13967155673185516,0.13833670970194589,0.4276531972904376,1.5961725117996792,4.076159276379328e-34,0.0,4.8705819451423178e-284,8.1719216382984509e-05,-6.8574434721583452e-08
958.83257614239983,0.14187797672275337,0.14018455897735294,0.41965429753468442,1.5985858573689171,3.3086682763576498e-14,0.0,1.0662289103685946e-275,9.3119383006205758e-05,-8.1056144895601659e-08
950.13864093638267,0.1456885536046002,0.14357562988033123,0.40722389817422489,1.5712455794581643,1.3414935617681026e-10,0.0,-1.2506251268007212e-254,0.00010590072771512853,-9.6873754835692876e-08
940.72237900342327,0.15231232308440212,0.14967692327820714,0.38885065606637426,1.4965011448250607,3.4313719407122936e-07,-1.2297503600239e-307,-4.3211988368332901e-238,0.00012019552915818951,-1.1732028680578067e-07
930.496038276695,0.16537436742851241,0.162006385035113,0.35397929499093728,1.2823381393616415,3.0590865262823105e-05,-2.2518186629924054e-302,2.6958577371439385e-227,0.00013843635553788779,-1.4434472163664733e-07
919.42636239465617,0.19052572951130742,0.18600858354841421,0.31006469572151474,0.93315361983775347,0.00011140059472634889,-7.6600557433821574e-286,-5.1907265977952274e-200,0.00015183197169851663,-1.8269591676656447e-07
907.515870989728,0.21732222709152893,0.21138105282898323,0.28030123493648951,0.66623912818064923,0.00018175443437052925,7.8536558298874611e-261,1.6766297881642585e-185,0.00016050898623426978,-2.3432886325350247e-07
894.75969176552348,0.2507760186852579,0.24293602027762518,0.25932278441228362,0.42381468920322618,0.0002337820400497416,4.7222976573533892e-251,-8.9660673588945562e-170,0.00016947883330426568,-3.0543853052165475e-07
881.10775479854783,0.30734666117029974,0.29643340853698419,0.18384206472550346,-0.34206049645605674,0.000200401057584491,-7.2059028569917063e-234,-3.8286444913430368e-149,0.00017308935647765943,-4.0721032497274456e-07
866.45498259601288,0.38869184341314167,0.37309877872326069,0.059603344583885942,-1.6177130283264489,0.00013826595996304335,-1.9023603503679108e-212,7.9188404551116495e-149,0.00017061219094238744,-5.600052442566206e-07
850.66872420888467,0.48593900212108565,0.4640013561125329,-0.0014944888867418626,-2.4581308683312244,6.0463949692975485e-05,1.5086674193145128e-193,-5.4593924352391969e-130,0.0001601776514741117,-8.0428047854361281e-07
833.64559388934572,0.53016225890593205,0.50331370243327456,0.085145985172156102,-1.787846282570257,-1.1968525625213281e-05,-5.003832403216007e-169,-2.9067654235287863e-120,0.00012995721719475696,-1.221430968330029e-06
