Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_RH (%),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,-0.20404809817540581,-0.20425647274811354,-0.38210236324746916,0.09211895080788679,0.0,0.0,0.0,0.0,0.0
996.41402441262312,0.20404765392009949,0.20383835227886493,0.38210238159432031,0.90020513322205886,1.4528743206962469e-96,0.0,0.0,-0.00025190772901931887,-3.2262316890927872e-08
989.2484027980131,0.20788044723951771,0.20723824107767541,0.38519377818866118,0.94450041480320124,-1.1904341884812387e-83,0.0,0.0,-0.00024746430017131681,-3.5886937370512426e-08
982.00795783398439,0.20924170953014709,0.20815606086000571,0.38181011594799052,0.94904201824563472,1.2596493602538638e-69,0.0,0.0,-0.00024311049229730052,-4.0575147493976719e-08
974.61313365461172,0.20868588635477181,0.20715325404921714,0.3780476716855965,0.96282907561550246,2.9610422694378186e-55,0.0,0.0,-0.00023725312274571527,-4.6379304292777903e-08
966.93843588156642,0.20840756164477625,0.20640804587861794,0.3728482801353703,0.96932960092752296,-1.7365481043101101e-34,0.0,3.6267287547953423e-305,-0.00023240836225541482,-5.3573487110168459e-08
958.83257614239983,0.20846839076165224,0.20596989547152589,0.36774075680929741,0.9770256845738885,-6.2161749125219111e-15,0.0,9.4898286612656091e-294,-0.00022745778393731472,-6.2652058613581478e-08
950.13864093638267,0.20979991122368347,0.20674401469932491,0.36091022796521521,0.97153837416269084,2.9593547008473829e-11,0.0,-4.7434002679744087e-276,-0.00022340055586953043,-7.4263388691123867e-08
940.72237900342327,0.21407708687132754,0.21035630104790926,0.34782841525437647,0.91724723743230641,7.1181624457161014e-08,-4.4420035118627121e-316,-1.1371633851704937e-225,-0.00022132966576102371,-8.9530696097025737e-08
930.496038276695,0.22636986772465661,0.22173808862487476,0.31762135279145376,0.71348499110655439,0.00012109200342979494,-1.7276029413603478e-309,-4.0010379669634436e-214,-0.00022230636089031874,-1.1000336648829129e-07
919.42636239465617,0.25249335074920509,0.24647795642283654,0.26997799795777766,0.32017736154381282,0.00057310799900375494,-5.3336833674297004e-276,-5.0728691411228143e-204,-0.00023183978376008912,-1.3821917970562849e-07
907.515870989728,0.27869694653657007,0.27103943806696407,0.24839077847359192,0.11040879609063836,0.00023943372602090382,2.5908566006718261e-263,-1.6915333156313541e-192,-0.00024285830117136767,-1.7719853187587658e-07
894.75969176552348,0.30704039915735848,0.29739087473808468,0.24737468952793051,0.039262221111030726,6.9836828297891416e-05,-1.0357520903947232e-249,-1.6556302768544085e-178,-0.00025759131210550262,-2.3247807042007981e-07
881.10775479854783,0.32892910347140969,0.31718522205557065,0.26119579391827585,0.11495014296833972,8.0534486484283574e-07,6.6838822763462758e-215,-2.1959696670238661e-169,-0.00027169410107706106,-3.1317634456094522e-07
866.45498259601288,0.34278982617155407,0.32895889088320018,0.27731305672932649,0.2524843298790671,-3.4548684514159461e-05,3.9208814153444854e-207,-5.8710722270106904e-155,-0.0002750037660083967,-4.3583808267647121e-07
850.66872420888467,0.35182356200004961,0.33584450245842845,0.29066916540112331,0.40146098056925439,-5.7032211458436961e-05,1.1344275412187626e-174,-2.6567199992020792e-145,-0.00027057121723277414,-6.3335537261575065e-07
833.64559388934572,0.36154609956486183,0.34312092225246715,0.29910062526145964,0.52216016238941165,-5.1064705749846555e-05,6.1893940982392395e-171,-4.3538244973292985e-127,-0.00026943572296388683,-9.7439222564006807e-07
815.36890159117854,0.37716410957608559,0.35566319353318931,0.30133195775314014,0.58249523212663235,-9.9627073142436254e-05,-8.8124169807807491e-158,-2.2080039133319321e-113,-0.00028677660455839887,-1.6143966077368698e-06
795.94597919194848,0.39953600651608667,0.37414991503396777,0.29628283441371472,0.5668533001438476,-0.00015007512921059313,-6.4746983829015055e-149,-1.396420626643369e-93,-0.00034005217791965511,-2.9267854905985484e-06
775.60658797742315,0.42547151961963436,0.39547402819943045,0.28568570247239577,0.50333691978082129,-0.0002181851000489822,-1.3196594330247863e-135,-3.0269294566019711e-80,-0.00043069956987467663,-5.8816166994113525e-06
754.65955126406607,0.45372960162882237,0.41842177105382916,0.27193196029148137,0.41680161083908729,-0.00033406048131675962,-3.0512713984332354e-111,-3.2707161575836488e-59,-0.00056741255559329511,-1.3186048275460265e-05
733.43070267335133,0.48305530794243623,0.4418123155787157,0.25686796584210647,0.32868882219291606,-0.00041977851151623908,-2.4203747750347769e-97,-1.3789623779894664e-36,-0.00074286865298863088,-3.2875244565452592e-05
712.20761947503922,0.50784068354306555,0.46056077987850585,0.24220916565464989,0.28107809955496066,-0.0004170046682508686,-8.2170008460039453e-80,-1.7009979571578747e-12,-0.00095447949501347579,-8.9728672949601065e-05
