hPa,u,v
1003.579007,0,0
996.4140244,-4.329446977,0.002608001
989.2484028,-4.442377057,0.003148418
982.0079578,-4.576085719,0.005939071
974.6131337,-4.616168431,0.004065131
966.9384359,-4.654935903,0.002001428
958.8325761,-4.678822377,-0.000819512
950.1386409,-4.704681315,-0.002860187
940.722379,-4.737075527,-0.004614579
930.4960383,-4.770848475,-0.005081772
919.4263624,-4.853717801,-0.003585582
907.515871,-4.915432271,0.000602043
894.7596918,-4.938710313,0.002701124
881.1077548,-4.948778226,0.003242479
866.4549826,-4.956163139,0.001855468
850.6687242,-4.963502868,0.000240134
833.6455939,-4.970846998,-0.001182202
815.3689016,-4.977501863,0.000295068
795.9459792,-4.981623993,0.000478242
775.606588,-4.983485583,0.000478867
754.6595513,-4.985175917,-0.00061161
733.4307027,-4.986981386,-0.001672643
712.2076195,-4.987065925,-0.003495017
691.2079105,-4.991055219,-0.004104902
670.5736865,-4.997143649,-0.001076203
650.3839247,-5.000659935,0.00043209
630.6740281,-4.996752802,-0.002797531
611.4542823,-4.994995031,-0.002277318
592.7192088,-4.998551551,-0.000727139
574.4550523,-4.99963016,0.000113217
556.6526,-4.998916965,-0.000447469
539.3077953,-4.999926254,1.96E-05
522.4138055,-4.999939669,-0.000108872
505.9615044,-4.999140934,0.000140339
489.9414964,-4.995871447,-0.000166913
474.3441784,-4.996163955,0.001873385
459.1594691,-4.994866855,0.001494085
444.3769015,-4.993941445,0.001848752
429.9869729,-4.995730929,0.001480916
415.9792783,-4.999514128,-0.000928087
402.3420711,-5.001309277,-0.001426304
389.0658082,-5.000213431,-0.002369535
376.1428871,-4.998455663,-0.002241306
363.5658382,-4.999659017,-0.002318705
351.3248924,-5.004413571,-0.001396519
339.4083231,-5.002807984,-0.000514984
327.8073421,-5.001355983,-0.000681358
316.5157424,-5.002520363,-0.001044572
305.5274066,-5.005655777,-0.002075097
294.8345004,-5.008286961,-0.001673137
284.4277261,-5.007301208,-0.001260333
274.2999605,-5.003267227,0.000983993
264.4459929,-5.002511909,0.002154991
254.8598388,-5.003973651,0.001983705
245.5348572,-5.005404902,0.002365177
236.4654345,-5.004698066,0.002646543
227.646862,-5.007214641,0.004536282
219.074249,-5.010695448,0.00369433
210.7425556,-5.010527838,0.001914671
202.6470577,-5.010157111,-0.001310166
194.7833118,-5.009527368,-0.004351132
187.1469629,-5.004303921,-0.005697959
179.733709,-4.998201836,-0.005311533
172.5393236,-4.992415439,-0.003793544
165.5593012,-4.990498099,0.00087974
158.7875869,-4.991911864,0.009536265
152.2147143,-4.992091029,0.011251057
145.825297,-4.994235607,0.009421195
139.5927165,-4.992962449,0.009085256
133.4718827,-4.992851143,0.005842128
127.3954516,-4.999385403,0.000628811
121.2776064,-5.00269116,0.00073298
115.0302335,-4.999592728,0.001098074
108.5904468,-4.997495645,0.002040317
101.9469936,-4.996699597,0.002050782
95.15254188,-4.996948829,0.00149889
88.31749424,-4.998286717,0.001070166
81.58065553,-4.999009695,0.000594103
75.07205885,-4.998713196,0.000220747
68.89422279,-4.998832984,0.000733938
63.11663205,-4.998275485,0.000413909
57.77348708,-4.997886202,0.000588003
52.86637584,-4.863022995,-0.141436314
