Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,-0.14160113050769496,-0.1417457006047016,-0.40708664062519517,0.0,0.0,0.0,0.0,0.0
996.41402441262312,0.14160116397385991,0.14145594117616156,0.40708677838297547,2.6149462746931819e-95,0.0,0.0,2.5363972921918845e-05,-2.5981504430111765e-08
989.2484027980131,0.14548306373689002,0.14503456220478483,0.41176354223448719,1.8460270907196853e-79,0.0,2.5631913258016159e-317,3.1388223275710669e-05,-2.9952592342235171e-08
982.00795783398439,0.1462978610318828,0.14554114496854709,0.41244845759033311,1.2930423868403301e-71,0.0,1.835620691505958e-301,3.8935926066736674e-05,-3.4645454635814597e-08
974.61313365461172,0.14664206395917745,0.14556894167100154,0.41021781613283359,-3.2517770404203758e-54,0.0,-4.0466926992671558e-281,4.7903306670823466e-05,-4.0152107241383048e-08
966.93843588156642,0.14716117493208003,0.14575474930120436,0.40651393423657289,3.7915634186694187e-34,0.0,-8.0762887598964759e-274,5.7477504754120667e-05,-4.6778104447717135e-08
958.83257614239983,0.14826262084159225,0.14649299768427682,0.40083436700875907,2.0902199691200546e-14,0.0,-1.2056056258437122e-259,6.7718403716373297e-05,-5.4933668726208774e-08
950.13864093638267,0.15094672375471418,0.14875754069379354,0.39118484541655896,7.6452438567520789e-11,3.1218674078475895e-309,3.5678964437412407e-251,7.8520130395802121e-05,-6.5237925958027203e-08
940.72237900342327,0.15648868118478276,0.15378101950835799,0.37523903167483219,1.9043884014258969e-07,1.2468867576203007e-298,-5.0828546181047098e-226,8.9743915719164326e-05,-7.8518907622774724e-08
930.496038276695,0.1680614884970737,0.16463878071556337,0.34405524866612147,2.7039419826940983e-05,7.2316573369949878e-276,-1.5620103943560043e-199,0.00010490388698953558,-9.6050626463315863e-08
919.42636239465617,0.19086456634215665,0.1863393869475658,0.30358916425646676,0.00010614589129097528,1.5768295512496112e-282,-2.5953805252857908e-200,0.00011538355419487504,-1.212618224091219e-07
907.515870989728,0.21388134464240238,0.20803423752869321,0.27807152351584818,0.00017974226000788847,4.9530986680983708e-258,-1.8636710455390713e-175,0.00012075020281362547,-1.5555894635058745e-07
894.75969176552348,0.24138955583873667,0.23384300596006824,0.26561766393824904,0.0002246645474349412,1.2988168164807959e-244,3.1153085529341241e-159,0.00012634520373796306,-2.0334570214892216e-07
881.10775479854783,0.2890810158636441,0.27881633901432679,0.20590641783587138,0.00017123637555278739,4.3070685991903241e-208,-1.9140751658240918e-149,0.00012826590937253281,-2.7327850882313175e-07
866.45498259601288,0.35844613348069743,0.34406642924471953,0.10344079670683293,0.00010290355131396985,1.9066135401867303e-194,-5.6890030291311153e-132,0.0001239312932370968,-3.8169676277461522e-07
850.66872420888467,0.44493933948928088,0.42485261732377921,0.048945191227302232,1.3976586021427744e-05,-6.04088962932492e-204,-6.8050186068120498e-119,0.00011031772650895236,-5.6197346471815621e-07
