Pressure (hPa),Delta_theta (K),Delta_Temp (K),Delta_qv (g/kg),Delta_qliq (g/kg),Delta_qice (g/kg),Delta_qsnow (g/kg),Delta_qrain (g/kg),Delta_qgraupel (g/kg)
1003.5790071658564,0.39482611880055174,0.39522922328200139,0.41168375793992595,0.0,0.0,0.0,0.0,0.0
996.41402441262312,-0.3948263818073201,-0.39442145722767918,-0.41168496651583908,-8.7420316851695234e-97,0.0,0.0,0.00055157557248583945,3.0788935661284949e-08
989.2484027980131,-0.39942544616258147,-0.3981940799816357,-0.41640807022799287,-4.3347748830582495e-83,0.0,0.0,0.00054870525996299387,3.5679768377276698e-08
982.00795783398439,-0.39700350567625264,-0.39495003115627014,-0.42100691385694056,2.4846448866618962e-73,0.0,3.4142359409546269e-298,0.00055375087228174552,4.1339871700339712e-08
974.61313365461172,-0.39582778116096051,-0.39293112516236306,-0.42374952055964776,-3.5094695293526646e-54,0.0,-4.0466926995762685e-281,0.00057059711154116254,4.7914977552184628e-08
966.93843588156642,-0.39483222842324039,-0.39105879996157,-0.42518116258080951,-2.4151912107916366e-35,0.0,2.2611134950149939e-267,0.00059277837529309908,5.5696752026500775e-08
958.83257614239983,-0.39440365721230819,-0.38969616019682007,-0.42480359271099033,-1.3380525932223971e-15,0.0,-1.2056531675435888e-259,0.00062411362147461388,6.5078233936893713e-08
950.13864093638267,-0.39438840873737036,-0.38866858652204428,-0.42175324842830975,-7.0268504800442289e-12,2.7952844825347838e-314,9.9141815912181592e-228,0.00066263336477467589,7.658666938930742e-08
940.72237900342327,-0.39486538888155565,-0.38803318943598697,-0.41549440068721388,-2.0069070182460189e-08,-4.3871432974612318e-300,5.2119613694902009e-219,0.00071177768109335644,9.0956080886475549e-08
930.496038276695,-0.39539302023075606,-0.387340522426598,-0.40643348791246936,-2.2068289633813917e-06,9.9889631544742968e-290,-1.5620103943560036e-199,0.00076766625865074597,1.0910794784273443e-07
919.42636239465617,-0.39726577084337578,-0.38784705622890669,-0.3829440301940501,5.9223210890493042e-05,3.6518681828715299e-282,2.3617416092960489e-200,0.00084226252443174963,1.3236634556438535e-07
907.515870989728,-0.39499469991000069,-0.38419629987367898,-0.35884646386969443,0.00021305571223454497,5.5487687703033877e-255,-1.8634115057069216e-175,0.00092916456576688615,1.6244023739176468e-07
894.75969176552348,-0.378204315817527,-0.36638053278858251,-0.35432581850151301,0.00049086213318966145,9.525864980654426e-229,2.4866953557748209e-157,0.0010219934300771125,2.0058876119688162e-07
881.10775479854783,-0.34106890101423915,-0.32895824047227507,-0.37528999153474274,0.00081695498547551255,3.8310175098571264e-223,4.6286929284723354e-149,0.0011213460860741379,2.4925707274979591e-07
866.45498259601288,-0.29188730488931469,-0.2801777264547809,-0.36933165596653161,0.0011924294134869205,1.5592817819493692e-200,4.2409061835428488e-131,0.0012245564883698115,3.1188521929371819e-07
850.66872420888467,-0.25357583811029372,-0.24212819355307147,-0.22779309758338151,0.0013948827626921413,1.5609914459164015e-171,1.1290085053866338e-117,0.0013286864185224276,3.968602646907285e-07
833.64559388934572,-0.24646699972043962,-0.23398538102833299,0.034420232491642722,0.0012809804456501046,9.0143365549741553e-156,1.5224396356714674e-101,0.0013961235861814844,5.2620352508592314e-07
815.36890159117854,-0.28003907325728505,-0.26417926584690576,0.25498603855845481,0.001102914960248582,9.6730974444921403e-143,1.6915046796685532e-95,0.0014042626803679389,7.6730004347249413e-07
795.94597919194848,-0.30372623343743044,-0.28455858980163384,0.33714951599070453,0.0008353815858278559,1.197561837314983e-134,5.0905487613991322e-82,0.0013332921976000767,1.2949849489279647e-06
775.60658797742315,-0.2979246313024646,-0.27706695106553525,0.31028054994725718,0.00057991602651933337,-6.3635546149261439e-112,1.7161380332186292e-71,0.0011662685882389886,2.6159759774211859e-06
754.65955126406607,-0.25840372765327402,-0.23844094347526834,0.22361174554719287,0.0003827780397530154,5.1443563627984954e-99,6.9420809388536761e-53,0.00088397341846782433,6.4071616239908986e-06
733.43070267335133,-0.21418111637302673,-0.19603052987514502,0.12074289813381522,0.00024715012132307292,1.9226627904696678e-93,6.1410314307850263e-15,0.00051391635377888781,1.8402519195136988e-05
712.20761947503922,-0.19339525105732491,-0.17552777798897523,0.03303073384335331,0.00020242537540350711,1.0069645426726012e-75,1.1063845340673502e-11,0.00012810023919132725,5.7264364754306524e-05
691.20791049555862,-0.19152201171539218,-0.17234796176842337,-0.030507623810074769,0.00017778919144342082,2.440756945158533e-70,2.2669626256039004e-09,-0.00024730671814320732,0.00017593716440110312
670.573686473821,-0.19982960116345794,-0.17827389919074221,-0.071599990026472327,0.00015305869532921475,1.4981684936669159e-37,1.9941948697353947e-07,-0.00062377943856828724,0.00047103066327285363
650.383924724449,-0.22409987243344176,-0.19818798708320173,-0.096617545006549399,0.00012905106088423671,6.3761891858195677e-17,6.4825855383607668e-06,-0.00090903281913072391,0.00082606143905229572
630.67402811686134,-0.28674810535750339,-0.25137314215106699,-0.10522160493963728,0.00012341578209862933,3.330876421430085e-13,-2.0669067559721165e-05,-0.00049524148134717783,-2.3554270087966164e-05
611.45428233122652,-0.34360741381425441,-0.29856693127408107,-0.11228156060863359,0.00011485518597436153,1.6745418590723443e-10,-3.0450882449426379e-05,-0.00030609254999391586,-0.00023292316023946873
592.71920884622148,-0.37683172155175271,-0.32453859283378961,-0.11262933034262623,0.00011808414025094895,2.5673464216221384e-09,-6.7886129411290732e-05,-0.00017663263579418848,-0.00027918932084755946
574.45505226858313,-0.40260298751087475,-0.34364761622822471,-0.10737382119854777,0.00013033324774328883,4.450020941798536e-08,-0.00014017625148987243,-6.0544847172127637e-05,-0.00031391817305761148
556.65260004906315,-0.43431452040442764,-0.3673970072821362,-0.10146481901444071,0.00011926049512456542,5.748008278596149e-08,-0.00024577229271483458,5.3005139862302795e-05,-0.0003640668177308827
539.30779530302743,-0.4771994246323743,-0.40004096604019423,-0.097491914771747901,0.00010320897366801886,-9.4695486785603105e-08,-0.00038870900659974451,0.00027994633602653179,-0.00057927053951426465
522.41380552772557,-0.53019120593279467,-0.44044236423428629,-0.092631102034824941,8.0360894612650476e-05,-1.6429204625098614e-07,-0.00052128376456135432,0.00043020718105072969,-0.00074959118883441422
505.96150436091227,-0.58265614035195767,-0.47962238709448002,-0.086128093195402489,5.6677872325100161e-05,-1.130321553901509e-07,-0.00061784606211653763,0.00045983424160480398,-0.00082156564630257028
489.94149636014373,-0.62734456899806901,-0.51168429045549146,-0.078690079013315817,3.8426551971187115e-05,-3.6229977529979949e-08,-0.00066718747626787027,0.00044958802482269458,-0.00085810187889209452
474.34417837126739,-0.66574864719774496,-0.53801322188468248,-0.072136146307782312,1.5988413269681263e-05,8.4679352018918871e-09,-0.00070420975485147377,0.00041361183449003342,-0.00087914045445651109
459.15946906760792,-0.70071221715272713,-0.56103039079005157,-0.066551652126778604,2.1981938924675332e-06,3.1877974754163078e-08,-0.00066661454123349666,0.00035611513950918041,-0.00088636232286396291
444.37690147340521,-0.73464073217030545,-0.58272320253996668,-0.061765559268893711,-8.7501961329750641e-06,5.5818642362097589e-08,-0.0005499935753453776,0.00027892264774582575,-0.00087902656885195316
429.98697286626538,-0.76938522493838946,-0.60457158794091015,-0.056125338890598231,-2.000929651032636e-05,8.8370211489321948e-08,-0.00040990353924442308,0.00018318209588746013,-0.00085336951628937202
415.97927830645477,-0.80390659038391732,-0.62575034064644797,-0.050522458133069215,-2.3714241728823031e-05,1.3430768744578414e-07,-0.00033222619632224809,7.9425921896089137e-05,-0.00082568572983521271
402.34207106309435,-0.83621154004458731,-0.64472841804459335,-0.045536131913846312,-2.8013152990556439e-05,2.0439232189203919e-07,-0.00018795253960429692,-2.4325586855098542e-05,-0.00078165066073233522
389.06580822189585,-0.8679764445448086,-0.66283630675195582,-0.041369117840016512,-2.8781120421617415e-05,3.0350769411678138e-07,-2.9051587461671746e-05,-0.00010709693986474473,-0.00074810609289250457
376.14288707230742,-0.9008701217194357,-0.68135003459158838,-0.036879092689975468,-2.6597898284921005e-05,4.4466895601066372e-07,2.6710133094964839e-05,-0.00014375594908725645,-0.00075499530762144704
363.56583823404338,-0.93548187196347499,-0.70068816738432815,-0.031745620123293183,-2.4096868552176396e-05,6.4400412138374035e-07,5.8645916511113061e-06,-0.00012097802057359723,-0.00083420746411518726
351.32489240297065,-0.96960469902501245,-0.71917671676501982,-0.027192877522659309,-2.0881132799769844e-05,9.009562317732014e-07,-1.7494110449864375e-05,-6.3419686613654737e-05,-0.00097312172185717513
339.40832313975909,-1.0004052316459706,-0.73474440649653161,-0.023625932168859498,-1.6362084290599474e-05,1.2449465643176938e-06,6.3725226540356505e-05,-1.8800175345545693e-05,-0.0010863500508976158
327.80734209468892,-1.0292381357984368,-0.74844881372382588,-0.020597483196986344,-1.3305225723459722e-05,1.6302329622005867e-06,0.00013876056533906889,-2.7033370263065491e-06,-0.0011787475916954088
316.51574244756836,-1.0572216965775851,-0.76113914090072399,-0.017648209080775135,-1.0905445589039995e-05,1.9872625999481983e-06,5.5417970784829573e-05,-1.7764967352101858e-07,-0.0012423812396525555
305.5274066110498,-1.0839038706775455,-0.77251287298625471,-0.014675096473267091,-8.143852899599687e-06,2.3288753413261603e-06,-0.0001103751551023574,-1.2369222755003298e-08,-0.0012926010853414188
294.83450039440481,-1.1079509402679832,-0.78165706903777732,-0.012039242230549113,-4.6568136555181929e-06,2.4775091973397837e-06,-0.00028671711896730012,-2.8715984754633045e-09,-0.0013306619595212683
284.42772608091428,-1.1287664782587399,-0.78821044756219294,-0.010057422848881586,-1.931665925195984e-06,1.7688885853992656e-06,-0.00048609875977814049,-5.4133697855766378e-10,-0.0013570286159101386
274.29996050411938,-1.1472335425461893,-0.79285239007347741,-0.0086430522482702221,-1.2927519626094724e-23,3.2695758826886212e-07,-0.00061729442622901476,-7.5664749191488714e-11,-0.0013592621572048082
264.44599288414628,-1.1641543065640008,-0.79618272423897452,-0.0073395261543073298,-1.6251103490776349e-41,1.0111909616695875e-06,-0.00083435060490327784,-1.4494391417247565e-28,-0.0013516240341427954
254.85983875844221,-1.1793068748867199,-0.79808433958933733,-0.00604122257853143,-7.7173089228965879e-61,2.0396194741673348e-06,-0.0010045973743310482,-5.3336961092533744e-47,-0.0013245750462122646
245.53485722568533,-1.1927598120822722,-0.79864009444960971,-0.0048821006792261201,-2.1403656667705238e-65,2.9468436094887655e-06,-0.0012503123687027037,-1.6662230497790466e-60,-0.0012872400454382871
236.46543449989932,-1.204400599064229,-0.7978115418017353,-0.0039400511108732342,8.7904190908110191e-17,4.0141570779280293e-06,-0.0014785963977154634,5.1580590470462506e-20,-0.0012353484225237771
227.64686202755937,-1.2137987729549877,-0.7953557778385516,-0.0031904902737449961,1.4613909258455041e-11,5.7270724781604713e-06,-0.0016904976619470588,3.6385457645915904e-19,-0.001180223669891756
219.07424904441737,-1.2204150427060085,-0.79097134904699828,-0.002567385365231184,-6.9406086031541524e-29,8.83006268394306e-06,-0.0018546898163177214,3.8953543838924645e-20,-0.001119075421286822
210.74255556668118,-1.2242745127772992,-0.7847336252864352,-0.0020694776848691615,-1.6605231279194023e-47,1.3787934350796314e-05,-0.001942703006176015,-1.4325147795796107e-39,-0.0010570317672388904
202.64705766067848,-1.2255826590183005,-0.77683170722949058,-0.0016551115084601879,-3.2327472588205704e-38,2.1819678634900475e-05,-0.0019443333797161608,-1.2909951158041215e-52,-0.0010007571228045093
194.7833118291997,-1.2232868685553058,-0.76666049455954521,-0.0013189933358140928,-3.8437008270043305e-36,3.4129441362260214e-05,-0.0018341602502647963,-1.5332747418158378e-38,-0.0009505139682730087
187.14696289888764,-1.2138637977523672,-0.75211393684728023,-0.001054127335085012,-1.7787784410084793e-34,5.6375609337444503e-05,-0.0017352433396836953,-1.7222829521387432e-76,-0.00090499444477457926
179.7337090096795,-1.1914291487506716,-0.72974002436873775,-0.00084774434814194333,2.3543780556898996e-55,9.8397699149151537e-05,-0.001737987850340534,2.1602777287181924e-68,-0.00084809673924554282
172.53932361931479,-1.1522272842912002,-0.69754240490991037,-0.00068078536905650383,2.5128678753181379e-17,0.00018006344366355739,-0.0018667524593504493,4.1780044167561439e-56,-0.00077733288777804155
165.55930122105292,-1.0904831292240829,-0.65242227455055968,-0.00054119883062418196,6.8139916669677579e-12,0.00032442058630555279,-0.0018722602425703828,1.7975128198250474e-22,-0.00069035139090004981
158.78758694496352,-0.99973247659448816,-0.59103493318073674,-0.00042336801546393864,-3.0502680624291039e-11,0.00046430982571522681,-0.0017607446275434164,-7.9556223749344865e-22,-0.00059368494268927097
152.21471432546539,-0.88376581014080102,-0.51620523841643262,-0.00032675821036125784,3.2486290008062251e-12,0.00049820804118931041,-0.0014819997177925089,2.1383787407705886e-20,-0.00049920011222828829
145.82529703208687,-0.74275312407911542,-0.42855858017185255,-0.00024402500324350934,5.6010324433012418e-11,0.00044195367807494719,-0.001143198137045168,-1.2295319303911761e-19,-0.00041578842047705405
139.59271651096998,-0.57867333174266378,-0.32974691849193505,-0.00016984373181516644,-1.6873709589147252e-10,0.00032847473764823615,-0.00082620244596902457,2.1083486714874238e-18,-0.00034737099395976199
133.4718827401486,-0.40079686100847312,-0.2254807791323401,-0.00010353694282185183,-3.8331967015352856e-11,0.00020867164605008854,-0.00057672924115339803,1.9169427250931884e-17,-0.00029002965696749909
127.39545156679038,-0.22571034586496808,-0.12530162830034897,-4.9142616796070447e-05,1.0065655493439453e-09,0.00011535974154509594,-0.00040783529106317188,3.1286414337236781e-14,-0.0002462427733002908
121.27760637962351,-0.074924283690620541,-0.041013137489727569,-1.141103027152055e-05,-2.534961999246859e-09,5.6488614301521264e-05,-0.00027855313242393202,1.6676193431732386e-13,-0.00018304040684879124
115.03023349136959,0.028285439368175957,0.015251157331817922,8.6236758958945121e-06,-1.2277767080478185e-10,2.2959698241809174e-05,-0.00017576002372123807,-4.190492928479018e-15,-0.00011915959966906796
108.59044680852848,0.059370786217186833,0.031489524625897047,1.1825832260004107e-05,-6.4775774313083603e-10,2.3442408147519454e-06,-9.5463246448435299e-05,1.5322824416638869e-16,-6.2047642699327742e-05
101.94699357453212,0.066720194958861612,0.034755171915691108,1.0831881729449319e-05,1.3212780965715579e-13,-5.1409121378721319e-06,-3.5951434029761826e-05,4.7127722956538682e-18,-2.2574785908176588e-05
95.152541881617594,0.058226167499867643,0.029738877715942635,7.8915661827198445e-06,-6.3637033048995484e-13,-4.0996046218986759e-06,-9.3346780461128976e-06,-2.5089648238415969e-24,-7.2655199238220181e-06
88.317494242907557,0.041457131716867934,0.020728063892931914,1.3786766196511625e-06,-3.8115640903714213e-31,-1.309478000009539e-06,-1.5674532824223954e-06,1.5596890279336044e-49,-1.3769444223792661e-06
81.580655528879575,0.024095300884141579,0.011777392953177923,-2.8051334088992005e-06,7.429867913764974e-60,-3.6542224640651472e-07,-2.1994193881040924e-07,1.0271663945923511e-67,-7.5048085725344093e-08
75.072058853350214,0.014414264689492029,0.0068801124265860381,-3.5034169243366043e-06,1.0774300997472017e-75,-5.8101231164806012e-08,-2.7034347774768597e-08,-1.5062066994497395e-88,-3.2303777096541071e-09
68.894222787245965,0.0083347930932404779,0.0038819072194655746,-2.4355228471072566e-06,-7.2409970862750792e-79,-1.7147529273830064e-09,-9.7565982315254718e-10,-1.7717458912972335e-85,-2.3817877815127795e-10
63.116632052759378,0.0067868326528923717,0.0030828500282211735,-1.1963141271420161e-06,-3.1481912139684268e-95,-9.9605772833191662e-13,-1.6513670104876545e-12,-4.6339567829879326e-104,-2.3458707032842225e-12
57.773487080631895,0.0073329246870343923,0.0032478049853637003,-2.3079205570958328e-07,1.357197657960196e-125,-6.4863247671635989e-34,1.2296935756953598e-13,-2.3437963642656587e-104,-5.3783214015062933e-36
52.866375839581288,-442.57195894053478,-191.11107534615488,-0.0022926041169879317,0.0,0.0,0.0,0.0,0.0
