Pressure (hPa),theta (K),Temp (K),qv (g/kg),RH (%),qliq (g/kg),qice (g/kg),qsnow (g/kg),qrain (g/kg),qgraupel (g/kg)
1003.5790071658564,303.30844560944689,303.61818516745939,33.72889215524873,119.43148254159107,0,0,0,0,0
996.41402441262312,298.99155288255417,298.68486264846587,15.151799083615638,71.784092102349973,5.96521998035513e-103,0,0,0.006406748,2.3886634642622952e-07
989.2484027980131,298.78636029769098,297.86331801928583,15.00833865,74.229456378572976,8.9974249050962544e-90,0,0,0.006166267,2.7784036304139196e-07
982.00795783398439,298.84930179283208,297.29872496096476,14.914103973625689,75.800847027880664,3.2292852934801881e-77,0,0,0.006035584,3.2554613840516897e-07
974.61313365461172,298.86760950356836,296.67266397376812,14.867371525775507,77.939391422596657,5.6414657495964746e-65,0,4.2656348061289725e-307,0.006021712,3.8265317300024323e-07
966.93843588156642,298.8918614780498,296.02421605921251,14.814128367632097,80.198428627610141,1.826445630733317e-50,0,6.2077304830189e-292,0.006052842,4.525252017161095e-07
958.83257614239983,298.91841136327628,295.3358718704277,14.747372598933129,82.622996305149044,5.3563109996033453e-32,0,1.1117062515344327e-276,0.00614766,5.3954950972866962e-07
950.13864093638267,298.95147851680412,294.59702107757664,14.663058464433934,85.244336386681525,3.4844518127153425e-13,6.8116528965055875e-315,6.7151075728938321e-262,0.006280858,6.5022145437772973e-07
940.72237900342327,298.99570532296775,293.79898390879993,14.539344187567089,87.981134541219575,9.0797162830959525e-10,4.8742611057991557e-306,4.9412104451351757e-238,0.006467324,7.9417691524965932e-07
930.4960383,299.05063522090728,292.93172683477428,14.35683021914967,90.764352460518907,1.8507073944682041e-06,5.5311366914001509e-296,5.3201398951508757e-215,0.006687561,9.8491161495152958e-07
919.42636239465617,299.20997835941682,292.08160844051565,13.957128410581328,92.019822814482353,0.000362949,8.5768883718713729e-280,1.1085131037169945e-210,0.00696673,1.2431021627426885e-06
907.515871,299.50684121029042,291.2775577475054,13.284809782275381,90.994195593257956,0.001450153,1.6023903818890063e-268,1.1610122744380187e-193,0.007273528,1.5896563116540808e-06
894.75969176552348,299.87630638383774,290.45193177656273,12.444076405438807,88.596167990083586,0.002495863,1.3109168085337414e-236,7.2645214684720642e-170,0.007626199,2.0597164781313903e-06
881.10775479854783,300.37160457693324,289.64732245159769,11.51189679685389,84.993430249283506,0.003209442,7.834445089288803e-231,6.6544360978429519e-152,0.008036236,2.7057505095910599e-06
866.45498259601288,300.94119259594032,288.79877224797104,10.668534958182997,81.822161681355126,0.003828993,1.7142682266601506e-208,4.5325569177934327e-142,0.008511616,3.614529826201739e-06
850.66872420888467,301.61029974010529,287.91181715265293,10.008401904912075,79.831073246186463,0.004254703,1.1462652002275621e-184,1.4859936357223682e-123,0.009052777,4.9477936757949128e-06
833.64559388934572,302.39084833617716,286.98035156971622,9.4804779189379538,78.758028769072951,0.004391505,1.3922074930280626e-175,2.7626928666571002e-111,0.009643106,7.0333586629282054e-06
815.36890159117854,303.1822948822724,285.89884478072116,8.985972040114838,78.403169128981631,0.00446807,1.0416114157683465e-154,1.2296788807218656e-102,0.010300011,1.0560274400800409e-05
795.94597919194848,304.02514160796784,284.70770855598886,8.4735399723913361,78.114505191603499,0.004356818,3.6463742861433019e-144,1.7218916042916399e-92,0.011040489453586218,1.7065768855623224e-05
775.60658797742315,304.94752817383448,283.44747367390545,7.9312706688926786,77.531020345553628,0.00405107,9.215008868162987e-124,9.9446786494671931e-73,0.011823109734509916,3.0310247480291773e-05
754.65955126406607,305.95181133960853,282.14359014330353,7.3675260046366757,76.54437571707092,0.003567998,1.3228185138509681e-114,7.2683111547911412e-56,0.012559225733861512,6.0345641159775248e-05
