Time (day),CWV (mm)
0.77548168041087961,45.589494323075073
0.82527605975115748,45.687097510776077
0.87456072771990734,45.682040966583358
0.92291097005208333,45.696625500395818
0.96498480902777783,45.510379984700663
1.0119972511574074,45.630315942802035
1.0618178530092592,45.577254045016574
1.1099891493055556,45.607841723556533
1.1566349283854167,45.606982651281875
1.2010703305844908,45.74624727601207
1.2510910373263888,45.751050161453172
1.292773708767361,45.630374057359681
1.341306785300926,45.639788875539537
1.3902219871238426,45.720366102710088
1.4362824616608796,45.703598778314927
1.4831941731770835,45.631880864317651
1.5264131221064814,45.606128166781957
1.5727616825810184,45.6989854261533
1.6198974609374999,45.665114553331343
1.6677036313657407,45.638310409800354
1.718557761863426,45.551119768344428
1.7657637080439814,45.625788556313665
1.8078815827546295,45.446241438754463
1.859254738136574,45.668650993873342
1.9014357277199074,45.782921209871766
1.9507821542245372,45.909071656741339
2.0398397714120371,45.938210647395202
2.086264286747685,45.993801810743868
2.1299916811342592,46.00474688513944
2.176087420428241,45.870654108494136
2.2245873119212964,45.931765392744424
2.2687798394097221,46.062502573972587
2.3144106264467594,46.131927517590135
2.3614420572916668,46.138659818000775
2.4111635561342593,46.140197995295118
2.4575132016782408,46.207034019491225
2.5034469039351852,46.256404315806236
2.5499788411458333,46.108547546790582
2.5951081452546299,46.041149495294214
2.6401718026620373,46.193761207170731
2.6870647063078703,46.115249472368774
2.7297077546296293,46.060499658845643
2.7719184027777781,46.132694734843113
2.81504322193287,46.248217510756888
2.8612858072916669,46.335170649687221
2.9095343243634257,46.395906419850903
2.9512046079282404,46.154553793886286
3.0388917824074073,46.234643891750359
3.0836281105324073,46.145613933772268
3.126810619212963,46.153040630630464
3.1725651041666669,46.250195179115913
3.217814670138889,46.308044344391874
3.2622960069444442,46.347374405375263
3.3077332899305554,46.273089851621265
3.3541431568287035,46.313193294218294
3.3987583188657404,46.241639723838915
3.4465299479166664,46.146721655958032
3.4959964554398151,46.21525602128051
3.5391207320601854,46.298448106061763
3.5855041956018519,46.357968103007039
3.6315060763888884,46.353531618243267
3.6777520978009259,46.410863698072824
3.7264442274305556,46.442890661453831
3.7730631510416668,46.411081782924271
3.8157628038194442,46.29081866359499
3.8597157118055558,46.207114935862137
3.9033575665509264,46.113057344299669
3.9485087528935185,46.186535477737074
4.0382584635416672,46.201464663939504
4.0847923900462968,46.28380039213819
4.1331069155092592,46.155811152920549
4.1826027199074076,46.265696495636227
4.2318663194444444,46.121747502889541
4.279787326388889,46.178256073200799
4.3215064380787043,46.27884950619233
4.3642003038194446,46.080279334579188
4.4111957465277776,46.173052711613529
4.4532642505787035,46.310758336208316
4.4965672019675926,46.347378499414816
4.540645616319444,46.375263432381907
4.5829286024305551,46.29091076640136
4.6266948784722226,46.112790638901132
4.6728385416666667,46.147426691546144
4.7178642216435183,46.102016196667023
4.7642306857638888,46.314846945707927
4.8106036603009263,46.312071408167967
4.8543735532407402,46.315357467529154
4.8979351128472226,46.383674198175733
4.9435058593750005,46.280675006522557
5.0411158130787035,46.229411798117539
5.087484085648148,46.269166372891952
5.1309841579861111,46.26342979832701
5.1794151475694443,46.165690512018841
5.2241992187499999,46.041944647188757
5.2678352864583333,46.206775478550369
5.3133991608796292,46.051665751594641
5.359578993055556,46.075206308863919
5.4079014756944446,46.28171051682039
5.4504267939814817,46.241318311409415
5.4929900896990738,46.101041890323195
5.5417303240740736,46.261267526636097
5.5835434751157402,46.344920239038331
5.6261454716435182,46.330499777488981
5.6728432436342588,46.149323074283473
5.7192447916666671,46.138926957044092
5.7645638020833339,46.165145646404696
5.8100629340277772,46.265747769960086
5.8567068142361114,46.081076331309632
5.9006821469907402,46.032033424599426
5.943074001736111,46.059611910941477
6.0315704571759268,45.916924214530802
6.0772800925925923,46.101265477434559
6.1226953124999994,45.937838661071247
6.1680302372685185,46.06699626639908
6.2126714409722226,46.103098731579159
6.2596744791666667,46.025241967431967
6.305095486111111,46.071592129226431
6.3535756655092586,46.114772524670613
6.4019068287037042,46.17404800884006
6.4446925636574077,46.190668586991805
6.4915870949074082,45.972165933200678
6.5348943865740736,46.009735335341858
6.5804289641203697,45.967251606897996
6.6279116030092595,45.970397778539827
6.6744321469907399,46.041890959583057
6.7234273726851859,46.06863119887268
6.7707255497685184,46.067579354157928
6.8137572337962959,46.030755246282723
6.857138310185185,45.983666952806225
6.9009020543981485,46.073254892224291
6.9496223958333339,45.925669220313203
