,Resolution,pert,pressure,T,tk,q,qcloud,qice,qsnow,qrain,qgraup,rh,Model,pert_group,neg
4004,4 km,T -0.5 @850,1000.0,0.2522470951080322,0.2522318363189697,435.7690124511719,-0.0,-0.0,-0.0,-0.34074050188064575,0.00023955575306899846,1.1224691211205455,WRF,T 0.5 @850,True
4550,4 km,q -0.0002 @412,1000.0,0.18943235278129578,0.18938690423965454,460.0364685058594,-0.0,-0.0,-0.0,-0.07990579307079315,-0.0004506710101850331,1.5288059266466667,WRF,q 0.0002 @412,True
4641,4 km,q -0.0002 @500,1000.0,0.17853258550167084,0.17848826944828033,448.05316162109375,-0.0,-0.0,-0.0,0.5040512681007385,-0.0004471890861168504,1.514860825573579,WRF,q 0.0002 @500,True
4732,4 km,q -0.0002 @600,1000.0,0.17953017354011536,0.17949029803276062,439.9721984863281,-0.0,-0.0,-0.0,0.11357742547988892,-0.00020146438328083605,1.468619597257023,WRF,q 0.0002 @600,True
4823,4 km,q -0.0002 @730,1000.0,0.1809779405593872,0.18094560503959656,442.4872741699219,-0.0,-0.0,-0.0,-0.10654860734939575,-3.353074862388894e-05,1.4747615637852154,WRF,q 0.0002 @730,True
4914,4 km,q -0.0002 @850,1000.0,0.1770317703485489,0.177005335688591,430.5400695800781,-0.0,-0.0,-0.0,-0.06980279833078384,-0.0002058367826975882,1.430086475062579,WRF,q 0.0002 @850,True
1820,100 m,T -0.5 @412,1000.0,0.24016474187374115,0.24016664922237396,357.4060363769531,-0.0,-0.0,-0.0,-0.40353018045425415,3.448202187428251e-05,0.8438026326231537,WRF,T 0.5 @412,True
1911,100 m,T -0.5 @500,1000.0,,,,,,,,,,WRF,T 0.5 @500,True
2002,100 m,T -0.5 @600,1000.0,,,,,,,,,,WRF,T 0.5 @600,True
2093,100 m,T -0.5 @730,1000.0,,,,,,,,,,WRF,T 0.5 @730,True
2184,100 m,T -0.5 @850,1000.0,0.2604408860206604,0.26043787598609924,357.0323791503906,-0.0,-0.0,-0.0,-0.3081778883934021,-1.4032291801413521e-05,0.7498679004078578,WRF,T 0.5 @850,True
2730,100 m,q -0.0002 @412,1000.0,0.1389811933040619,0.13898460566997528,381.5548400878906,-0.0,-0.0,-0.0,-0.35334283113479614,4.686983811552636e-05,1.4309559773270866,WRF,q 0.0002 @412,True
2821,100 m,q -0.0002 @500,1000.0,,,,,,,,,,WRF,q 0.0002 @500,True
2912,100 m,q -0.0002 @600,1000.0,,,,,,,,,,WRF,q 0.0002 @600,True
3003,100 m,q -0.0002 @730,1000.0,,,,,,,,,,WRF,q 0.0002 @730,True
3094,100 m,q -0.0002 @850,1000.0,0.18069948256015778,0.18069632351398468,355.4179992675781,-0.0,-0.0,-0.0,-0.008423891849815845,1.9533117665559985e-05,1.1016312337928027,WRF,q 0.0002 @850,True
0,1 km,T -0.5 @412,1000.0,0.26735755801200867,0.26732462644577026,450.35516357421875,-0.0,-0.0,-0.0,-0.12343599647283554,-4.729248030344024e-05,1.1372870385289888,WRF,T 0.5 @412,True
91,1 km,T -0.5 @500,1000.0,0.2668747007846832,0.26684385538101196,436.58837890625,-0.0,-0.0,-0.0,-0.33114227652549744,-4.263672963134013e-05,1.066728693979958,WRF,T 0.5 @500,True
182,1 km,T -0.5 @600,1000.0,0.2647894024848938,0.2647617757320404,422.69317626953125,-0.0,-0.0,-0.0,-0.27852773666381836,1.2187436368549243e-05,1.003276811455317,WRF,T 0.5 @600,True
273,1 km,T -0.5 @730,1000.0,0.25891825556755066,0.25889644026756287,424.0971374511719,-0.0,-0.0,-0.0,-0.3280085027217865,-0.00014289483078755438,1.0370319866027602,WRF,T 0.5 @730,True
364,1 km,T -0.5 @850,1000.0,0.2811201214790344,0.2811027765274048,417.8970642089844,-0.0,-0.0,-0.0,-0.2416595220565796,-1.845750375650823e-05,0.9040185716478585,WRF,T 0.5 @850,True
910,1 km,q -0.0002 @412,1000.0,0.1978810876607895,0.19784118235111237,477.22314453125,-0.0,-0.0,-0.0,0.1800837218761444,-1.464247725380119e-05,1.5902631475434665,WRF,q 0.0002 @412,True
1001,1 km,q -0.0002 @500,1000.0,0.18404601514339447,0.18400898575782776,458.2612609863281,-0.0,-0.0,-0.0,0.293149471282959,2.514743755455129e-06,1.5529663389521695,WRF,q 0.0002 @500,True
1092,1 km,q -0.0002 @600,1000.0,0.1884489357471466,0.1884145438671112,446.99322509765625,-0.0,-0.0,-0.0,0.12463869899511337,-2.936772034445312e-05,1.4739572536461054,WRF,q 0.0002 @600,True
1183,1 km,q -0.0002 @730,1000.0,0.19912201166152954,0.19909332692623138,435.3289794921875,-0.0,-0.0,-0.0,0.2718505561351776,-0.00012668027193285525,1.3649963183099254,WRF,q 0.0002 @730,True
1274,1 km,q -0.0002 @850,1000.0,0.20147891342639923,0.20145373046398163,428.6199951171875,-0.0,-0.0,-0.0,0.23644806444644928,1.2003411939076614e-05,1.3194209998526882,WRF,q 0.0002 @850,True
7453,250 m,T -0.5 @412,996.4140244126232,0.1891492903210974,0.1889552706587664,327.09380162471643,-4.3784962102294165e-90,-0.0,-0.0,-0.218203591453,-3.498143387624822e-05,0.7326350763272415,MONC,T 0.5 @412,True
